name,region_id,type,population,timezone,location
La Croisade écarlate,1,(PvP RP),Low,CET,France
Laughing Skull,1,(PvP),Low,CET,United Kingdom
Les Clairvoyants,1,(RP),Low,CET,France
Les Sentinelles,1,(RP),Low,CET,France
Lich King,1,(PvP),Low,CET,Russia and CIS
Lightbringer,1,(PvE),Low,CET,United Kingdom
Lightning's Blade,1,(PvP),Low,CET,United Kingdom
Lordaeron,1,(PvE),Low,CET,Germany
Los Errantes,1,(PvE),Medium,CET,Spain
Lothar,1,(PvE),Low,CET,Germany
Madmortem,1,(PvE),Low,CET,Germany
Magtheridon,1,(PvE),Medium,CET,United Kingdom
Mal'Ganis,1,(PvP),Low,CET,Germany
Malfurion,1,(PvE),New Players,CET,Germany
Malorne,1,(PvE),Low,CET,Germany
Malygos,1,(PvE),New Players,CET,Germany
Mannoroth,1,(PvP),Low,CET,Germany
Marécage de Zangar,1,(PvE),Medium,CET,France
Mazrigos,1,(PvE),Low,CET,United Kingdom
Medivh,1,(PvE),Low,CET,France
Minahonda,1,(PvE),New Players,CET,Spain
Moonglade,1,(RP),Low,CET,United Kingdom
Mug'thol,1,(PvP),Low,CET,Germany
Nagrand,1,(PvE),Low,CET,United Kingdom
Nathrezim,1,(PvP),Low,CET,Germany
Naxxramas,1,(PvP),Low,CET,France
Nazjatar,1,(PvP),Low,CET,Germany
Nefarian,1,(PvP),Low,CET,Germany
Nemesis,1,(PvP),Medium,CET,Italy
Neptulon,1,(PvP),Low,CET,United Kingdom
Ner'zhul,1,(PvP),Low,CET,France
Nera'thor,1,(PvP),Low,CET,Germany
Nethersturm,1,(PvE),Low,CET,Germany
Nordrassil,1,(PvE),Low,CET,United Kingdom
Norgannon,1,(PvE),Low,CET,Germany
Nozdormu,1,(PvE),Low,CET,Germany
Onyxia,1,(PvP),Low,CET,Germany
Outland,1,(PvP),Medium,CET,United Kingdom
Perenolde,1,(PvE),Low,CET,Germany
Pozzo dell'Eternità,1,(PvE),New Players,CET,Italy
Proudmoore,1,(PvE),Low,CET,Germany
Quel'Thalas,1,(PvE),New Players,CET,United Kingdom
Ragnaros,1,(PvP),Medium,CET,United Kingdom
Rajaxx,1,(PvP),Low,CET,Germany
Rashgarroth,1,(PvP),Low,CET,France
Ravencrest,1,(PvP),Medium,CET,United Kingdom
Ravenholdt,1,(PvP RP),Medium,CET,United Kingdom
Razuvious,1,(PvP),Low,CET,Russia and CIS
Rexxar,1,(PvE),Low,CET,Germany
Runetotem,1,(PvE),Low,CET,United Kingdom
Sanguino,1,(PvP),Medium,CET,Spain
Sargeras,1,(PvP),Low,CET,France
Saurfang,1,(PvE),Low,CET,United Kingdom
Scarshield Legion,1,(PvP RP),Medium,CET,United Kingdom
Sen'jin,1,(PvE),Low,CET,Germany
Shadowsong,1,(PvE),Low,CET,United Kingdom
Shattered Halls,1,(PvP),Low,CET,United Kingdom
Shattered Hand,1,(PvP),Low,CET,United Kingdom
Shattrath,1,(PvE),Low,CET,Germany
Shen'dralar,1,(PvP),Medium,CET,Spain
Silvermoon,1,(PvE),High,CET,United Kingdom
Sinstralis,1,(PvP),Low,CET,France
Skullcrusher,1,(PvP),Low,CET,United Kingdom
Soulflayer,1,(PvP),Medium,CET,Russia and CIS
Spinebreaker,1,(PvP),Low,CET,United Kingdom
Sporeggar,1,(PvP RP),Medium,CET,United Kingdom
Steamwheedle Cartel,1,(RP),Low,CET,United Kingdom
Stormrage,1,(PvE),Low,CET,United Kingdom
Stormreaver,1,(PvP),Low,CET,United Kingdom
Stormscale,1,(PvP),Medium,CET,United Kingdom
Sunstrider,1,(PvP),Low,CET,United Kingdom
Suramar,1,(PvE),Low,CET,France
Sylvanas,1,(PvP),Medium,CET,United Kingdom
Taerar,1,(PvP),Low,CET,Germany
Talnivarr,1,(PvP),Low,CET,United Kingdom
Tarren Mill,1,(PvP),Medium,CET,United Kingdom
Teldrassil,1,(PvE),Low,CET,Germany
Temple noir,1,(PvP),Low,CET,France
Terenas,1,(PvE),Low,CET,United Kingdom
Terokkar,1,(PvE),Low,CET,United Kingdom
Terrordar,1,(PvP),Low,CET,Germany
The Maelstrom,1,(PvP),Low,CET,United Kingdom
The Sha'tar,1,(RP),Low,CET,United Kingdom
The Venture Co,1,(PvP RP),Medium,CET,United Kingdom
Theradras,1,(PvP),Low,CET,Germany
Thermaplugg,1,(PvP),Low,CET,Russia and CIS
Thrall,1,(PvE),Medium,CET,Germany
Throk'Feroth,1,(PvP),Low,CET,France
Thunderhorn,1,(PvE),Low,CET,United Kingdom
Tichondrius,1,(PvE),Low,CET,Germany
Tirion,1,(PvE),Low,CET,Germany
Todeswache,1,(RP),Low,CET,Germany
Trollbane,1,(PvP),Low,CET,United Kingdom
Turalyon,1,(PvE),Low,CET,United Kingdom
Twilight's Hammer,1,(PvP),Low,CET,United Kingdom
Twisting Nether,1,(PvP),High,CET,United Kingdom
Tyrande,1,(PvE),Medium,CET,Spain
Uldaman,1,(PvE),Low,CET,France
Ulduar,1,(PvE),Low,CET,Germany
Uldum,1,(PvP),Medium,CET,Spain
Un'Goro,1,(PvE),Low,CET,Germany
Varimathras,1,(PvE),Medium,CET,France
Vashj,1,(PvP),Low,CET,United Kingdom
Vek'lor,1,(PvP),Low,CET,Germany
Vek'nilash,1,(PvE),Low,CET,United Kingdom
Vol'jin,1,(PvE),Low,CET,France
Wildhammer,1,(PvE),Low,CET,United Kingdom
Wrathbringer,1,(PvP),Low,CET,Germany
Xavius,1,(PvP),Low,CET,United Kingdom
Ysera,1,(PvE),Low,CET,Germany
Ysondre,1,(PvP),Medium,CET,France
Zenedar,1,(PvP),Low,CET,United Kingdom
Zirkel des Cenarius,1,(RP),Low,CET,Germany
Zul'jin,1,(PvP),Medium,CET,Spain
Zuluhed,1,(PvP),Low,CET,Germany
