name,region_id,type,population,timezone,location
Suramar,2,(PvE),Low,PST,United States
Tanaris,2,(PvE),Low,EST,United States
Terenas,2,(PvE),Low,MST,United States
Terokkar,2,(PvE),Low,CST,United States
Thaurissan,2,(PvP),Low,AEDT,United States
The Forgotten Coast,2,(PvP),Low,EST,United States
The Scryers,2,(RP),Low,PST,United States
The Underbog,2,(PvP),Low,CST,United States
The Venture Co,2,(PvP RP),Low,PST,United States
Thorium Brotherhood,2,(RP),Low,CST,United States
Thrall,2,(PvE),Medium,EST,United States
Thunderhorn,2,(PvE),Low,CST,United States
Thunderlord,2,(PvP),Low,CST,United States
Tichondrius,2,(PvP),Medium,PST,United States
Tol Barad,2,(PvP),Low,BRST,Brazil
Tortheldrin,2,(PvP),Low,EST,United States
Trollbane,2,(PvE),Low,EST,United States
Turalyon,2,(PvE),Low,EST,United States
Twisting Nether,2,(PvP RP),Low,CST,United States
Uldaman,2,(PvE),Low,EST,United States
Uldum,2,(PvE),Low,PST,United States
Undermine,2,(PvE),Low,EST,United States
Ursin,2,(PvP),Low,PST,United States
Uther,2,(PvE),Low,PST,United States
Vashj,2,(PvP),Low,PST,United States
Vek'nilash,2,(PvE),Low,CST,United States
Velen,2,(PvE),Low,PST,United States
Warsong,2,(PvP),Low,EST,United States
Whisperwind,2,(PvE),Low,CST,United States
Wildhammer,2,(PvP),Low,CST,United States
Windrunner,2,(PvE),Low,PST,United States
Winterhoof,2,(PvE),Low,CST,United States
Wyrmrest Accord,2,(RP),Medium,PST,United States
Ysera,2,(PvE),Low,EST,United States
Ysondre,2,(PvP),Low,EST,United States
Zangarmarsh,2,(PvE),Low,MST,United States
Zul'jin,2,(PvE),Full,EST,United States
Zuluhed,2,(PvP),Low,EST,United States
